surface,player_1_win,player_1,Player_1_hand,Player_1_age,player_2,Player_2_hand,Player_2_age
Hard,0,Kevin Anderson,R,31.20328542,Alexander Zverev,R,20.27926078
Hard,1,Kevin Anderson,R,31.20328542,Jack Sock,R,24.84873374
Hard,0,Kei Nishikori,R,27.58658453,Alexander Zverev,R,20.27926078
Hard,0,Yuki Bhambri,R,25.07323751,Kevin Anderson,R,31.20328542
Hard,0,Milos Raonic,R,26.5927447,Jack Sock,R,24.84873374
Hard,1,Alexander Zverev,R,20.27926078,Daniil Medvedev,R,21.46748802
Hard,0,Tommy Paul,R,20.20533881,Kei Nishikori,R,27.58658453
Hard,1,Kevin Anderson,R,31.20328542,Dominic Thiem,R,23.90691307
Hard,0,Guido Pella,L,27.20602327,Yuki Bhambri,R,25.07323751
Hard,0,Marcos Baghdatis,R,32.12046543,Milos Raonic,R,26.5927447
Hard,1,Jack Sock,R,24.84873374,Jared Donaldson,R,20.80766598
Hard,0,Tennys Sandgren,R,26.02600958,Alexander Zverev,R,20.27926078
Hard,0,Grigor Dimitrov,R,26.20944559,Daniil Medvedev,R,21.46748802
Hard,0,Gilles Muller,L,34.22861054,Tommy Paul,R,20.20533881
Hard,1,Kei Nishikori,R,27.58658453,Juan Martin Del Potro,R,28.85147159
Hard,1,Dominic Thiem,R,23.90691307,Henri Laaksonen,R,25.33333333
Hard,0,Malek Jaziri,R,33.52772074,Kevin Anderson,R,31.20328542
Hard,0,Mischa Zverev,L,29.94113621,Guido Pella,L,27.20602327
Hard,0,Gael Monfils,R,30.91307324,Yuki Bhambri,R,25.07323751
Hard,1,Milos Raonic,R,26.5927447,Nicolas Mahut,R,35.52361396
Hard,0,Ryan Harrison,R,25.23203285,Marcos Baghdatis,R,32.12046543
Hard,1,Jared Donaldson,R,20.80766598,Marc Polmans,U,20.24640657
Hard,1,Jack Sock,R,24.84873374,Marius Copil,R,26.7871321
Hard,0,Jordan Thompson,R,23.27994524,Alexander Zverev,R,20.27926078
Hard,1,Tennys Sandgren,R,26.02600958,Nick Kyrgios,R,22.26146475
Hard,0,Steve Johnson,R,27.60027379,Daniil Medvedev,R,21.46748802
Hard,1,Grigor Dimitrov,R,26.20944559,Kyle Edmund,R,22.55989049
Hard,0,Lucas Pouille,R,23.43326489,Tommy Paul,R,20.20533881
Hard,1,Gilles Muller,L,34.22861054,Dmitry Tursunov,R,34.63381246
Hard,1,Juan Martin Del Potro,R,28.85147159,Lukas Lacko,R,29.7412731
Hard,1,Kei Nishikori,R,27.58658453,Donald Young,L,28.02190281
Hard,1,Henri Laaksonen,R,25.33333333,Vasek Pospisil,R,27.10472279
Hard,0,Alessandro Bega,R,26.55167693,Malek Jaziri,R,33.52772074
Hard,0,Ramkumar Ramanathan,R,22.72689938,Guido Pella,L,27.20602327
Hard,0,Stefan Kozlov,R,19.4934976,Yuki Bhambri,R,25.07323751
Hard,1,Nicolas Mahut,R,35.52361396,Thomas Fabbiano,R,28.18069815
Hard,1,Marcos Baghdatis,R,32.12046543,Edan Leshem,U,20.36687201
Hard,1,Jared Donaldson,R,20.80766598,Dudi Sela,R,32.32306639
Hard,1,Marius Copil,R,26.7871321,Sekou Bangoura,R,25.70020534
Hard,0,Ruben Bemelmans,L,29.54414784,Jordan Thompson,R,23.27994524
Hard,1,Tennys Sandgren,R,26.02600958,Go Soeda,R,32.90075291
Hard,0,Reilly Opelka,U,19.92334018,Daniil Medvedev,R,21.46748802
Hard,0,Hyeon Chung,R,21.19917864,Kyle Edmund,R,22.55989049
Hard,1,Tommy Paul,R,20.20533881,Casper Ruud,R,18.60643395
Hard,1,Dmitry Tursunov,R,34.63381246,Mitchell Krueger,R,23.54825462
Hard,1,Lukas Lacko,R,29.7412731,Alexios Halebian,L,23.14579055
Hard,1,Donald Young,L,28.02190281,Tim Smyczek,R,29.58521561
Hard,1,Alexander Zverev,R,20.29842574,Roger Federer,R,35.99726215
Hard,1,Alexander Zverev,R,20.29842574,Denis Shapovalov,L,18.31348392
Hard,0,Robin Haase,R,30.33812457,Roger Federer,R,35.99726215
Hard,1,Denis Shapovalov,L,18.31348392,Adrian Mannarino,L,29.10609172
Hard,1,Alexander Zverev,R,20.29842574,Kevin Anderson,R,31.22245038
Hard,1,Robin Haase,R,30.33812457,Diego Sebastian Schwartzman,R,24.97467488
Hard,1,Roger Federer,R,35.99726215,Roberto Bautista Agut,R,29.31416838
Hard,0,Rafael Nadal,L,31.17864476,Denis Shapovalov,L,18.31348392
Hard,1,Adrian Mannarino,L,29.10609172,Hyeon Chung,R,21.2183436
Hard,1,Alexander Zverev,R,20.29842574,Nick Kyrgios,R,22.28062971
Hard,1,Kevin Anderson,R,31.22245038,Sam Querrey,R,29.83436003
Hard,1,Robin Haase,R,30.33812457,Grigor Dimitrov,R,26.22861054
Hard,1,Diego Sebastian Schwartzman,R,24.97467488,Jared Donaldson,R,20.82683094
Hard,0,Gael Monfils,R,30.93223819,Roberto Bautista Agut,R,29.31416838
Hard,1,Roger Federer,R,35.99726215,David Ferrer,R,35.34839151
Hard,0,Borna Coric,R,20.72826831,Rafael Nadal,L,31.17864476
Hard,0,Juan Martin Del Potro,R,28.87063655,Denis Shapovalov,L,18.31348392
Hard,0,David Goffin,R,26.66666667,Hyeon Chung,R,21.2183436
Hard,0,Milos Raonic,R,26.61190965,Adrian Mannarino,L,29.10609172
Hard,1,Alexander Zverev,R,20.29842574,Richard Gasquet,R,31.137577
Hard,0,Paolo Lorenzi,R,35.6440794,Nick Kyrgios,R,22.28062971
Hard,0,Pablo Carreno Busta,R,26.07255305,Kevin Anderson,R,31.22245038
Hard,0,Jo Wilfried Tsonga,R,32.30663929,Sam Querrey,R,29.83436003
Hard,0,Mischa Zverev,L,29.96030116,Grigor Dimitrov,R,26.22861054
Hard,1,Robin Haase,R,30.33812457,Ernesto Escobedo,R,21.09240246
Hard,0,Benoit Paire,R,28.24914442,Jared Donaldson,R,20.82683094
Hard,0,Dominic Thiem,R,23.92607803,Diego Sebastian Schwartzman,R,24.97467488
Hard,1,Gael Monfils,R,30.93223819,Kei Nishikori,R,27.60574949
Hard,0,Ryan Harrison,R,25.25119781,Roberto Bautista Agut,R,29.31416838
Hard,1,David Ferrer,R,35.34839151,Jack Sock,R,24.8678987
Hard,0,Peter Polansky,R,29.14442163,Roger Federer,R,35.99726215
Hard,0,Mikhail Youzhny,R,35.11841205,Borna Coric,R,20.72826831
Hard,0,Rogerio Dutra Silva,R,33.50855578,Denis Shapovalov,L,18.31348392
Hard,0,John Isner,R,32.28199863,Juan Martin Del Potro,R,28.87063655
Hard,1,David Goffin,R,26.66666667,Yuichi Sugita,R,28.8843258
Hard,1,Hyeon Chung,R,21.2183436,Feliciano Lopez,L,35.87953457
Hard,0,Daniil Medvedev,R,21.48665298,Adrian Mannarino,L,29.10609172
Hard,1,Richard Gasquet,R,31.137577,Brayden Schnur,R,22.09445585
Hard,0,Francis Tiafoe,R,19.54551677,Paolo Lorenzi,R,35.6440794
Hard,1,Nick Kyrgios,R,22.28062971,Viktor Troicki,R,31.4880219
Hard,1,Pablo Carreno Busta,R,26.07255305,Karen Khachanov,R,21.2128679
Hard,1,Kevin Anderson,R,31.22245038,Dudi Sela,R,32.34223135
Hard,1,Sam Querrey,R,29.83436003,Vincent Millot,L,31.51813826
Hard,1,Mischa Zverev,L,29.96030116,Norbert Gombos,R,26.98425736
Hard,1,Robin Haase,R,30.33812457,Albert Ramos,L,29.55509925
Hard,0,Nikoloz Basilashvili,R,25.45379877,Ernesto Escobedo,R,21.09240246
Hard,0,Lucas Pouille,R,23.45242984,Jared Donaldson,R,20.82683094
Hard,1,Benoit Paire,R,28.24914442,Donald Young,L,28.04106776
Hard,0,Reilly Opelka,U,19.94250513,Diego Sebastian Schwartzman,R,24.97467488
Hard,0,Steve Johnson,R,27.61943874,Gael Monfils,R,30.93223819
Hard,1,Ryan Harrison,R,25.25119781,Thomas Fabbiano,R,28.19986311
Hard,1,Roberto Bautista Agut,R,29.31416838,Tim Smyczek,R,29.60438056
Hard,0,Pierre Hugues Herbert,R,26.39014374,Jack Sock,R,24.8678987
Hard,0,Kyle Edmund,R,22.57905544,David Ferrer,R,35.34839151
Hard,1,Peter Polansky,R,29.14442163,Vasek Pospisil,R,27.12388775
Hard,0,Nick Kyrgios,R,22.29979466,Grigor Dimitrov,R,26.2477755
Hard,0,David Ferrer,R,35.36755647,Nick Kyrgios,R,22.29979466
Hard,0,John Isner,R,32.30116359,Grigor Dimitrov,R,26.2477755
Hard,0,Rafael Nadal,L,31.19780972,Nick Kyrgios,R,22.29979466
Hard,1,David Ferrer,R,35.36755647,Dominic Thiem,R,23.94524298
Hard,0,Jared Donaldson,R,20.84599589,John Isner,R,32.30116359
Hard,1,Grigor Dimitrov,R,26.2477755,Yuichi Sugita,R,28.90349076
Hard,0,Albert Ramos,L,29.5742642,Rafael Nadal,L,31.19780972
Hard,1,Nick Kyrgios,R,22.29979466,Ivo Karlovic,R,38.45859001
Hard,0,Adrian Mannarino,L,29.12525667,Dominic Thiem,R,23.94524298
Hard,1,David Ferrer,R,35.36755647,Pablo Carreno Busta,R,26.091718
Hard,0,Nikoloz Basilashvili,R,25.47296372,Jared Donaldson,R,20.84599589
Hard,1,John Isner,R,32.30116359,Francis Tiafoe,R,19.56468172
Hard,1,Grigor Dimitrov,R,26.2477755,Juan Martin Del Potro,R,28.88980151
